2025-01-15 06:20:19.360 [info] (Client) Pylance async client (2024.12.1) started with python extension (2024.22.2)
2025-01-15 06:20:20.486 [info] [Info  - 6:20:20 AM] (67425) Server root directory: file:///home/rj/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist
2025-01-15 06:20:20.490 [info] [Info  - 6:20:20 AM] (67425) Pylance language server 2024.12.1 (pyright version 1.1.389, commit ce1325fc) starting
2025-01-15 06:20:20.561 [info] [Info  - 6:20:20 AM] (67425) Starting service instance "rj"
2025-01-15 06:20:21.020 [info] [Info  - 6:20:21 AM] (67425) Setting environmentName for service "rj": "3.12.8 (ansible-env venv)"
2025-01-15 06:20:21.020 [info] [Info  - 6:20:21 AM] (67425) Setting pythonPath for service "rj": "/home/rj/ansible-env/bin/python"
2025-01-15 06:20:21.020 [info] [Info  - 6:20:21 AM] (67425) No include entries specified; assuming /home/rj
2025-01-15 06:20:21.020 [info] [Info  - 6:20:21 AM] (67425) Auto-excluding **/node_modules
2025-01-15 06:20:21.020 [info] [Info  - 6:20:21 AM] (67425) Auto-excluding **/__pycache__
2025-01-15 06:20:21.020 [info] [Info  - 6:20:21 AM] (67425) Auto-excluding **/.*
2025-01-15 06:20:21.226 [info] [Info  - 6:20:21 AM] (67425) Assuming Python version 3.12.8.final.0
2025-01-15 06:20:21.251 [info] [Info  - 6:20:21 AM] (67425) Auto-excluding /home/rj/ansible-env
2025-01-15 06:20:21.251 [info] [Info  - 6:20:21 AM] (67425) No source files found.
2025-01-15 06:20:22.063 [info] [Info  - 6:20:22 AM] (67425) Background analysis(1) root directory: file:///home/rj/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist
2025-01-15 06:20:22.063 [info] [Info  - 6:20:22 AM] (67425) Background analysis(1) started
2025-01-15 06:21:01.571 [info] [Info  - 6:21:01 AM] (67425) Setting environmentName for service "rj": "3.12.8 (ansible-env venv)"
2025-01-15 06:21:01.571 [info] [Info  - 6:21:01 AM] (67425) Setting pythonPath for service "rj": "/home/rj/ansible-env/bin/python"
2025-01-15 06:21:01.571 [info] [Info  - 6:21:01 AM] (67425) No include entries specified; assuming /home/rj
2025-01-15 06:21:01.571 [info] [Info  - 6:21:01 AM] (67425) Auto-excluding **/node_modules
2025-01-15 06:21:01.571 [info] [Info  - 6:21:01 AM] (67425) Auto-excluding **/__pycache__
2025-01-15 06:21:01.571 [info] [Info  - 6:21:01 AM] (67425) Auto-excluding **/.*
2025-01-15 06:21:01.613 [info] [Info  - 6:21:01 AM] (67425) Assuming Python version 3.12.8.final.0
2025-01-15 06:21:01.667 [info] [Info  - 6:21:01 AM] (67425) Auto-excluding /home/rj/ansible-env
2025-01-15 06:21:01.692 [info] [Info  - 6:21:01 AM] (67425) No source files found.
